park_code,park_name,city,state,lat,lng,min_temp,max_temp,humidity,cloudiness,wind_speed,date
saga,Saint-Gaudens National Historical Park,Cornish,NH,43.4997238,-72.37333969,59.04,66.22,47,2,1.99,1663264474
sapu,Salinas Pueblo Missions National Monument,Mountainair,NM,34.35423203,-106.2050309,70.86,72.23,33,1,12.82,1663264474
sajh,San Juan Island National Historical Park,Friday Harbor,WA,48.51241933,-123.0610277,55.29,64.26,81,62,2.3,1663264475
saju,San Juan National Historic Site,San Juan,PR,18.46873857,-66.11848623,84.36,88.68,74,75,18.41,1663264475
sand,Sand Creek Massacre National Historic Site,Eads,CO,38.56414189,-102.5169542,77.11,79.36,38,7,3.18,1663264475
safe,Santa Fe National Historic Trail,Santa Fe,NM,37.7276522226,-99.921969227,82.38,82.4,50,39,11.01,1663264475
samo,Santa Monica Mountains National Recreation Area,Calabasas,CA,34.09777606,-118.7708619,65.79,74.91,63,0,1.99,1663264476
sara,Saratoga National Historical Park,Stillwater,NY,42.99522612,-73.63386108,63.16,70.43,45,3,7.23,1663264476
scbl,Scotts Bluff National Monument,Gering,NE,41.83464193,-103.7071351,70.74,72.23,55,76,5.01,1663264476
seki,Sequoia & Kings Canyon National Parks,Three Rivers,CA,36.71277299,-118.587429,47.64,49.57,25,0,6.13,1663264477
shen,Shenandoah National Park,Luray,VA,38.49236644,-78.46907715,68.52,75.67,59,75,0,1663264477
sitk,Sitka National Historical Park,Sitka,AK,57.04718173,-135.3156876,53.6,53.6,82,100,0,1663264477
slbe,Sleeping Bear Dunes National Lakeshore,Empire,MI,44.92844962,-86.02706591,70.07,74.39,66,96,12.17,1663264477
stsp,Star-Spangled Banner National Historic Trail,Baltimore,MD,39.2872505188,-76.6034317017,73.09,80.38,51,0,7,1663264478
stri,Stones River National Battlefield,Murfreesboro,TN,35.87608652,-86.43078399,77.13,84.02,58,0,4.61,1663264255
tapr,Tallgrass Prairie National Preserve,Strong City,KS,38.44023613,-96.5670822,86.76,86.76,28,77,19.22,1663264478
this,Theodore Roosevelt Island,Arlington,VA,38.89584162,-77.06241918,75.15,81.34,56,75,11.5,1663264104
thro,Theodore Roosevelt National Park,Medora,ND,47.17777274,-103.4300083,68.74,68.74,44,100,6.08,1663264478
thst,Thomas Stone National Historic Site,Port Tobacco,MD,38.52934443,-77.037813,75.9,81.63,60,1,7.92,1663264479
tica,Timpanogos Cave National Monument,American Fork,UT,40.44039719,-111.7093944,59.02,65.89,57,30,7,1663264479
timu,Timucuan Ecological & Historic Preserve,Jacksonville,FL,30.47251894,-81.49950104,81.95,89.1,67,75,12.66,1663264479
tont,Tonto National Monument,Roosevelt,AZ,33.64842945,-111.1135627,83.46,88.2,33,0,3.42,1663264479
tusk,Tule Springs Fossil Beds National Monument,Las Vegas,NV,36.3893217,-115.3202223,77.36,85.21,44,0,4,1663264480
tuma,Tumacacori National Historical Park,Tumacacori,AZ,31.567824,-111.051223,82.11,87.85,36,0,6.2,1663264480
tuzi,Tuzigoot National Monument,Clarkdale,AZ,34.77296377,-112.0279069,78.31,85.84,38,0,3,1663264480
vall,Valles Caldera National Preserve,Jemez Springs,NM,35.91682872,-106.5195724,59.02,64.74,53,8,9.78,1663264481
vafo,Valley Forge National Historical Park,King of Prussia,PA,40.10054985,-75.44581889,68.56,76.06,45,0,8.05,1663264481
vama,Vanderbilt Mansion National Historic Site,Hyde Park,NY,41.79697937,-73.94205557,66.2,72.75,45,0,3,1663264481
vick,Vicksburg National Military Park,Vicksburg,MS,32.3621286,-90.85030186,83.68,85.98,48,0,4.61,1663264481
viis,Virgin Islands National Park,St. John,VI,18.34279656,-64.74194451,82.9,82.9,76,36,19.86,1663264482
voya,Voyageurs National Park,International Falls,MN,48.48370609,-92.8382913,60.44,62.42,97,100,3.33,1663264482
waba,Washita Battlefield National Historic Site,Cheyenne,OK,35.62083963,-99.70445143,82.54,82.54,40,14,19.13,1663264482
wefa,Weir Farm National Historical Park,Wilton,CT,41.25886268,-73.45452542,64.67,70.99,43,0,9.93,1663264483
whis,Whiskeytown National Recreation Area,Whiskeytown,CA,40.61359941,-122.6022657,63.07,64.47,47,5,3.98,1663264483
whsa,White Sands National Park,Alamogordo,NM,32.77907858,-106.3333461,79.25,82.4,41,9,6.87,1663264483
whmi,Whitman Mission National Historic Site,Walla Walla,WA,46.04119286,-118.4629388,68.34,72.18,53,92,4,1663264483
wicr,Wilson's Creek National Battlefield,Republic,MO,37.1000127,-93.40986704,77.99,82.2,50,95,3,1663264484
wica,Wind Cave National Park,Hot Springs,SD,43.58012365,-103.4394709,69.44,71.67,48,87,2.64,1663264484
wotr,Wolf Trap National Park for the Performing Arts,Vienna,VA,38.93854526,-77.265089,74.19,81.1,58,11,3,1663264484
wrst,Wrangell - St Elias National Park & Preserve,Copper Center,AK,61.4182147,-142.6028439,45,45,72,74,2.64,1663264485
wupa,Wupatki National Monument,Flagstaff,AZ,35.55741077,-111.3957216,71.33,75.07,30,0,3.2,1663264485
yell,Yellowstone National Park,Yellowstone National Park,WY,44.59824417,-110.5471695,47.44,50.38,93,57,3.44,1663264485
york,Yorktown Battlefield Part of Colonial National Historical Park,Yorktown,VA,37.2195,-76.4983,76.84,81.86,61,40,10.36,1663264486
yose,Yosemite National Park,Yosemite,CA,37.84883288,-119.5571873,47.08,52.75,25,49,8.05,1663264486
yuch,Yukon - Charley Rivers National Preserve,Fairbanks,AK,65.0935608,-142.7960021,40.71,40.71,91,97,3.27,1663264486
zion,Zion National Park,Springdale,UT,37.29839254,-113.0265138,66.52,67.26,48,35,6.87,1663264486
