park_code,park_name,city,state,lat,lng,min_temp,max_temp,humidity,cloudiness,wind_speed,date
choh,Chesapeake & Ohio Canal National Historical Park,Williamsport,MD,39.000283692,-77.2481399539,74.44,81.25,59,75,4.61,1663264420
chch,Chickamauga & Chattanooga National Military Park,Fort Oglethorpe,GA,34.94317623,-85.28749537,76.42,82.31,63,0,3.67,1663264420
chic,Chickasaw National Recreation Area,Sulphur,OK,34.46050507,-97.00715669,81.95,84.4,44,83,11.83,1663264420
chir,Chiricahua National Monument,Willcox,AZ,32.01214618,-109.341607,71.89,76.87,50,0,1.01,1663264421
ciro,City Of Rocks National Reserve,Almo,ID,42.0699024,-113.7124097,58.8,62.69,41,100,8.5,1663264421
cwdw,Civil War Defenses of Washington,Washington,DC,38.9644,-77.0292,74.25,81.23,57,40,10.36,1663264422
colm,Colorado National Monument,Fruita,CO,39.05045016,-108.6920709,62.51,70.18,66,17,1.01,1663264422
cong,Congaree National Park,Hopkins,SC,33.79187523,-80.74867805,79.38,83.37,44,40,13.8,1663264422
coro,Coronado National Memorial,Hereford,AZ,31.34900397,-110.2561574,72.36,77.43,31,0,7,1663264423
crla,Crater Lake National Park,Crater Lake,OR,42.94065854,-122.1338414,58.98,58.98,43,49,3.29,1663264423
crmo,Craters Of The Moon National Monument & Preserve,Arco,ID,43.20345611,-113.4791609,62.13,62.13,53,100,5.03,1663264423
cuga,Cumberland Gap National Historical Park,Middlesboro,KY,36.62503076,-83.6114083,72.75,75.58,57,0,4.61,1663264424
cuis,Cumberland Island National Seashore,St. Marys,GA,30.85857484,-81.45253575,81.01,86.04,60,99,13.76,1663264424
cure,Curecanti National Recreation Area,Gunnison,CO,38.46584558,-107.3303371,56.64,61.38,36,33,14.43,1663264424
cuva,Cuyahoga Valley National Park,Peninsula,OH,41.26093905,-81.57116722,67.51,76.24,67,21,1.99,1663264425
deva,Death Valley National Park,Death Valley,CA,36.48753731,-117.134395,65.8,65.8,19,0,2.77,1663264425
dewa,Delaware Water Gap National Recreation Area,Bushkill,PA,41.12793491,-74.94751173,66.11,72.68,49,0,9.62,1663264425
